femtoampere,femtoampere,fA,The femtoampere is a unit of electric current defined as 1.0e-15 ampere.
nanoampere,nanoampere,nA,The nanoampere is a unit of electric current defined as 1.0e-9 ampere.
microampere,microampere,μA,The microampere is a unit of electric current defined as 1.0e-6 ampere.
milliampere,milliampere,mA,The milliampere is a unit of electric current defined as 1.0e-3 ampere.
centiampere,centiampere,cA,The centiampere is a unit of electric current defined as 1.0e-2 ampere.
deciampere,deciampere,dA,The deciampere is a unit of electric current defined as 1.0e-1 ampere.
decaampere,decaampere,daA,The decaampere is a unit of electric current defined as 1.0e1 ampere.
hectoampere,hectoampere,hA,The hectoampere is a unit of electric current defined as 1.0e2 ampere.
kiloampere,kiloampere,kA,The kiloampere is a unit of electric current defined as 1.0e3 ampere.
megaampere,megaampere,MA,The megaampere is a unit of electric current defined as 1.0e6 ampere.
