type,unit,label,labelLang,symbol,definition
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/megakelvin,megakelvin,nl,MK,The megakelvin is a unit of thermodynamic temperature defined as 1.0e6 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gigakelvin,gigakelvin,en,GK,The gigakelvin is a unit of thermodynamic temperature defined as 1.0e9 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gigakelvin,gigakelvin,nl,GK,The gigakelvin is a unit of thermodynamic temperature defined as 1.0e9 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/terakelvin,terakelvin,en,TK,The terakelvin is a unit of thermodynamic temperature defined as 1.0e12 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/terakelvin,terakelvin,nl,TK,The terakelvin is a unit of thermodynamic temperature defined as 1.0e12 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/petakelvin,petakelvin,en,PK,The petakelvin is a unit of thermodynamic temperature defined as 1.0e15 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/petakelvin,petakelvin,nl,PK,The petakelvin is a unit of thermodynamic temperature defined as 1.0e15 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/exakelvin,exakelvin,en,EK,The exakelvin is a unit of thermodynamic temperature defined as 1.0e18 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/exakelvin,exakelvin,nl,EK,The exakelvin is a unit of thermodynamic temperature defined as 1.0e18 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zettakelvin,zettakelvin,en,ZK,The zettakelvin is a unit of thermodynamic temperature defined as 1.0e21 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zettakelvin,zettakelvin,nl,ZK,The zettakelvin is a unit of thermodynamic temperature defined as 1.0e21 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yottakelvin,yottakelvin,en,YK,The yottakelvin is a unit of thermodynamic temperature defined as 1.0e24 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yottakelvin,yottakelvin,nl,YK,The yottakelvin is a unit of thermodynamic temperature defined as 1.0e24 kelvin.
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yoctomole,yoctomole,en,ymol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yoctomole,yoctomol,nl,ymol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zeptomole,zeptomole,en,zmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/zeptomole,zeptomol,nl,zmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/attomole,attomole,en,amol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/attomole,attomol,nl,amol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/picomole,picomole,en,pmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/picomole,picomol,nl,pmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/femtomole,femtomole,en,fmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/femtomole,femtomol,nl,fmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nanomole,nanomole,en,nmol,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nanomole,nanomol,nl,nmol,
