Code,Label,Symbol,Description
N62,British thermal unit (international table) per degree Rankine,BtuIT/ºR,Unit of the heat capacity according to the Imperial system of units.
N63,British thermal unit (thermochemical) per degree Rankine,Btuth/ºR,Unit of the heat capacity according to the Imperial system of units.
N64,British thermal unit (thermochemical) per pound degree Rankine,(Btuth/°R)/lb,Unit of the heat capacity (British thermal unit according to the international table according to the Rankine degree) according to the Imperial system of units divided by the unit avoirdupois pound according to the avoirdupois system of units.
N65,kilocalorie (international table) per gram kelvin,(kcalIT/K)/g,"Unit of the mass-related heat capacity as quotient 1000-fold of the calorie (international table) divided by the product of the 0,001-fold of the SI base units kilogram and kelvin."
N66,British thermal unit (39 ºF),Btu (39 ºF) ,Unit of heat energy according to the Imperial system of units in a reference temperature of 39 °F.
N67,British thermal unit (59 ºF),Btu (59 ºF),Unit of heat energy according to the Imperial system of units in a reference temperature of 59 °F.
N68,British thermal unit (60 ºF),Btu (60 ºF) ,Unit of head energy according to the Imperial system of units at a reference temperature of 60 °F.
N69,calorie (20 ºC),cal₂₀,"Unit for quantity of heat, which is to be required for 1 g air free water at a constant pressure from 101,325 kPa, to warm up the pressure of standard atmosphere at sea level, from 19,5 °C on 20,5 °C."
N70,quad (1015 BtuIT),quad,Unit of heat energy according to the imperial system of units.
N71,therm (EC),thm (EC),"Unit of heat energy in commercial use, within the EU defined: 1 thm (EC) = 100 000 BtuIT."
N72,therm (U.S.),thm (US),Unit of heat energy in commercial use.
N73,British thermal unit (thermochemical) per pound,Btuth/lb,Unit of the heat energy according to the Imperial system of units divided the unit avoirdupois pound according to the avoirdupois system of units.
N74,British thermal unit (international table) per hour square foot degree Fahrenheit,BtuIT/(h·ft²·ºF),Unit of the heat transition coefficient according to the Imperial system of units.
N75,British thermal unit (thermochemical) per hour square foot degree Fahrenheit,Btuth/(h·ft²·ºF),Unit of the heat transition coefficient according to the imperial system of units.
N76,British thermal unit (international table) per second square foot degree Fahrenheit,BtuIT/(s·ft²·ºF),Unit of the heat transition coefficient according to the imperial system of units.
N77,British thermal unit (thermochemical) per second square foot degree Fahrenheit,Btuth/(s·ft²·ºF) ,Unit of the heat transition coefficient according to the imperial system of units.
N78,kilowatt per square metre kelvin,kW/(m²·K),1000-fold of the derived SI unit watt divided by the product of the power of the SI base unit metre by exponent 2 and the SI base unit kelvin.
N79,kelvin per pascal,K/Pa,SI base unit kelvin divided by the derived SI unit pascal.
N80,watt per metre degree Celsius,W/(m·°C),Derived SI unit watt divided by the product of the SI base unit metre and the unit for temperature degree Celsius.
N81,kilowatt per metre kelvin,kW/(m·K),1000-fold of the derived SI unit watt divided by the product of the SI base unit metre and the SI base unit kelvin.
N82,kilowatt per metre degree Celsius,kW/(m·°C),1000-fold of the derived SI unit watt divided by the product of the SI base unit metre and the unit for temperature degree Celsius.
N83,metre per degree Celcius metre,m/(°C·m),SI base unit metre divided by the product of the unit degree Celsius and the SI base unit metre.
N84,degree Fahrenheit hour per British thermal unit (international table),ºF/(BtuIT/h),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
N85,degree Fahrenheit hour per British thermal unit (thermochemical),ºF/(Btuth/h),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
N86,degree Fahrenheit second per British thermal unit (international table),ºF/(BtuIT/s),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
N87,degree Fahrenheit second per British thermal unit (thermochemical),ºF/(Btuth/s),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
N88,degree Fahrenheit hour square foot per British thermal unit (international table) inch,ºF·h·ft²/(BtuIT·in),Unit of specific thermal resistance according to the Imperial system of units.
N89,degree Fahrenheit hour square foot per British thermal unit (thermochemical) inch,ºF·h·ft²/(Btuth·in),Unit of specific thermal resistance according to the Imperial system of units.
N90,kilofarad,kF,1000-fold of the derived SI unit farad.
N91,reciprocal joule,1/J,Reciprocal of the derived SI unit joule.
N92,picosiemens,pS,"0,000 000 000 001-fold of the derived SI unit siemens."
N93,ampere per pascal,A/Pa,SI base unit ampere divided by the derived SI unit pascal.
N94,franklin,Fr,"CGS (Centimetre-Gram-Second system) unit of the electrical charge, where the charge amounts to exactly 1 Fr where the force of 1 dyn on an equal load is performed at a distance of 1 cm."
N95,ampere minute,A·min,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one minute..
N96,biot,Bi,CGS (Centimetre-Gram-Second system) unit of the electric power which is defined by a force of 2 dyn per cm between two parallel conductors of infinite length with negligible cross-section in the distance of 1 cm.
N97,gilbert,Gi,"CGS (Centimetre-Gram-Second system) unit of the magnetomotive force, which is defined by the work to increase the magnetic potential of a positive common pol with 1 erg."
N98,volt per pascal,V/Pa,Derived SI unit volt divided by the derived SI unit pascal.
N99,picovolt,pV,"0,000 000 000 001-fold of the derived SI unit volt."
NA,milligram per kilogram,mg/kg,
NAR,number of articles,,A unit of count defining the number of articles (article: item).
NCL,number of cells,,"A unit of count defining the number of cells (cell: an enclosed or circumscribed space, cavity, or volume)."
NEW,newton,N,
NF,message,,A unit of count defining the number of messages.
NIL,nil,(),A unit of count defining the number of instances of nothing.
NIU,number of international units,,A unit of count defining the number of international units.
NL,load,,A unit of volume defining the number of loads (load: a quantity of items carried or processed at one time).
NM3,Normalised cubic metre,,Normalised cubic metre (temperature 0°C and pressure 1013.25 millibars )
NMI,nautical mile,n mile,
NMP,number of packs,,A unit of count defining the number of packs (pack: a collection of objects packaged together).
NPT,number of parts,,A unit of count defining the number of parts (part: component of a larger entity).
